tool,oracle,level,processing_time_avg,processing_time_median,tp,fp,fn,precision,recall
tracker,training,change,3911.227178,2625,5035,29,33,99.427330,99.348856
tracker,training,commit,3911.227178,2625,4685,23,0,99.511470,100.000000
tracker,test,change,3901.373418,2041,1021,8,5,99.222546,99.512671
tracker,test,commit,3901.373418,2041,947,7,0,99.266247,100.000000
