Oracle,Analyzed Commits,Staged Tree Matching,Default Matching,No Matching,Staged Tree Percentage,Default Percentage,No Matching Percentage
Training,57172,19,20681,36472,0.033233051,36.17330162,63.79346533
Test,15152,11,2416,12725,0.072597677,15.94508976,83.98231257
